run_name,model,data_setting,preprocess_profile,affine_setting,epoch,train_loss,train_acc,val_loss,val_acc,lr
strided_cnn_plain,strided_cnn,plain,plain,none,3,0.052403,0.986928,0.011594,0.998235,0.000854
strided_cnn_plain,strided_cnn,plain,plain,none,4,0.034898,0.991569,0.008144,0.998824,0.000691
strided_cnn_plain,strided_cnn,plain,plain,none,5,0.029404,0.992810,0.005808,0.999412,0.000500
strided_cnn_plain,strided_cnn,plain,plain,none,6,0.019934,0.995359,0.004324,0.999412,0.000309
strided_cnn_plain,strided_cnn,plain,plain,none,7,0.015590,0.996667,0.002969,0.999412,0.000146
strided_cnn_plain,strided_cnn,plain,plain,none,8,0.014051,0.996863,0.002303,0.999412,0.000038
strided_cnn_centered,strided_cnn,centered,centered,none,1,0.597678,0.835359,0.115378,0.967647,0.001000
strided_cnn_centered,strided_cnn,centered,centered,none,2,0.112376,0.971699,0.052077,0.985882,0.000962
strided_cnn_centered,strided_cnn,centered,centered,none,3,0.073960,0.979477,0.020785,0.994706,0.000854
strided_cnn_centered,strided_cnn,centered,centered,none,4,0.048637,0.986797,0.015072,0.995882,0.000691
strided_cnn_centered,strided_cnn,centered,centered,none,5,0.036856,0.991307,0.011326,0.997059,0.000500
strided_cnn_centered,strided_cnn,centered,centered,none,6,0.025162,0.994314,0.008706,0.997647,0.000309
strided_cnn_centered,strided_cnn,centered,centered,none,7,0.021681,0.995359,0.006807,0.997647,0.000146
strided_cnn_centered,strided_cnn,centered,centered,none,8,0.019361,0.995294,0.006530,0.997059,0.000038
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,1,0.417987,0.878235,0.037747,0.988824,0.001000
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,2,0.074025,0.979183,0.012319,0.996471,0.000962
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,3,0.049662,0.986013,0.009388,0.995882,0.000854
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,4,0.033892,0.990327,0.010592,0.996471,0.000691
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,5,0.025171,0.993072,0.005121,0.998235,0.000500
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,6,0.019841,0.994444,0.005085,0.998235,0.000309
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,7,0.014042,0.996242,0.004148,0.997647,0.000146
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,8,0.011940,0.996961,0.002919,0.998824,0.000038
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,1,0.381787,0.886427,0.042515,0.985294,0.001000
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,2,0.088699,0.973312,0.008667,0.998235,0.000962
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,3,0.057975,0.982963,0.008348,0.998235,0.000854
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,4,0.043179,0.986906,0.004921,0.999412,0.000691
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,5,0.031811,0.990697,0.003776,0.998235,0.000500
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,6,0.021832,0.993638,0.003056,0.998824,0.000309
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,7,0.016247,0.995120,0.001917,0.998824,0.000146
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,8,0.013374,0.996623,0.002278,0.999412,0.000038
deotte_cnn_plain,deotte_cnn,plain,plain,none,1,0.854177,0.755948,0.104866,0.975882,0.001000
deotte_cnn_plain,deotte_cnn,plain,plain,none,2,0.160137,0.962941,0.033344,0.991176,0.000962
deotte_cnn_plain,deotte_cnn,plain,plain,none,3,0.078991,0.982418,0.015313,0.997059,0.000854
deotte_cnn_plain,deotte_cnn,plain,plain,none,4,0.050522,0.987712,0.009729,0.997647,0.000691
deotte_cnn_plain,deotte_cnn,plain,plain,none,5,0.034733,0.992222,0.016748,0.994118,0.000500
deotte_cnn_plain,deotte_cnn,plain,plain,none,6,0.025067,0.994510,0.004549,0.999412,0.000309
deotte_cnn_plain,deotte_cnn,plain,plain,none,7,0.019578,0.995359,0.002889,0.999412,0.000146
deotte_cnn_plain,deotte_cnn,plain,plain,none,8,0.015842,0.997124,0.003060,0.999412,0.000038
deotte_cnn_centered,deotte_cnn,centered,centered,none,1,0.929230,0.726144,0.165364,0.947059,0.001000
deotte_cnn_centered,deotte_cnn,centered,centered,none,2,0.191691,0.952092,0.040943,0.990588,0.000962
deotte_cnn_centered,deotte_cnn,centered,centered,none,3,0.090013,0.978824,0.040915,0.987647,0.000854
deotte_cnn_centered,deotte_cnn,centered,centered,none,4,0.062283,0.984379,0.017073,0.995294,0.000691
deotte_cnn_centered,deotte_cnn,centered,centered,none,5,0.044543,0.988431,0.011709,0.997647,0.000500
deotte_cnn_centered,deotte_cnn,centered,centered,none,6,0.029595,0.993399,0.009176,0.998235,0.000309
deotte_cnn_centered,deotte_cnn,centered,centered,none,7,0.024499,0.994379,0.007502,0.998824,0.000146
deotte_cnn_centered,deotte_cnn,centered,centered,none,8,0.019674,0.995817,0.006693,0.998824,0.000038
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,1,0.618509,0.816765,0.035776,0.990588,0.001000
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,2,0.091706,0.976667,0.013596,0.996471,0.000962
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,3,0.050186,0.986765,0.011406,0.996471,0.000854
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,4,0.035254,0.990686,0.011291,0.997059,0.000691
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,5,0.024361,0.993529,0.008285,0.997647,0.000500
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,6,0.016743,0.995948,0.003308,0.999412,0.000309
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,7,0.012715,0.996601,0.002990,0.998824,0.000146
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,8,0.010118,0.997745,0.002280,0.999412,0.000038
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,1,0.487955,0.855251,0.027032,0.991765,0.001000
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,2,0.078376,0.978562,0.010544,0.996471,0.000962
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,3,0.050992,0.985882,0.005150,0.997647,0.000854
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,4,0.031851,0.990741,0.003565,0.998824,0.000691
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,5,0.022948,0.993769,0.002818,0.999412,0.000500
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,6,0.018264,0.995163,0.002118,0.999412,0.000309
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,7,0.011646,0.996776,0.000969,0.999412,0.000146
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,8,0.009647,0.997603,0.001077,0.999412,0.000038
